   55   218   246	RPs/Img: 75.93	IOU: 66.93%	Recall:88.62%
   56   221   250	RPs/Img: 75.37	IOU: 67.01%	Recall:88.40%
   57   226   256	RPs/Img: 76.57	IOU: 66.92%	Recall:88.28%
   58   232   262	RPs/Img: 75.78	IOU: 66.98%	Recall:88.55%
   59   234   264	RPs/Img: 75.13	IOU: 67.09%	Recall:88.64%
   60   235   265	RPs/Img: 75.13	IOU: 67.07%	Recall:88.68%
   61   238   269	RPs/Img: 74.81	IOU: 67.25%	Recall:88.48%
   62   239   270	RPs/Img: 74.19	IOU: 67.29%	Recall:88.52%
   63   241   272	RPs/Img: 74.05	IOU: 67.35%	Recall:88.60%
   64   244   275	RPs/Img: 73.72	IOU: 67.37%	Recall:88.73%
   65   245   276	RPs/Img: 72.64	IOU: 67.37%	Recall:88.77%
   66   246   277	RPs/Img: 71.94	IOU: 67.35%	Recall:88.81%
   67   247   278	RPs/Img: 70.91	IOU: 67.35%	Recall:88.85%
   68   248   279	RPs/Img: 69.97	IOU: 67.29%	Recall:88.89%
   69   249   280	RPs/Img: 69.23	IOU: 67.32%	Recall:88.93%
   70   256   291	RPs/Img: 71.01	IOU: 66.94%	Recall:87.97%
   71   266   302	RPs/Img: 72.17	IOU: 67.05%	Recall:88.08%
   72   269   306	RPs/Img: 71.40	IOU: 66.93%	Recall:87.91%
   73   274   312	RPs/Img: 71.34	IOU: 67.02%	Recall:87.82%
   74   275   314	RPs/Img: 71.45	IOU: 66.91%	Recall:87.58%
   75   276   315	RPs/Img: 70.55	IOU: 66.97%	Recall:87.62%
   76   282   321	RPs/Img: 70.97	IOU: 66.91%	Recall:87.85%
   77   286   326	RPs/Img: 70.83	IOU: 66.92%	Recall:87.73%
   78   291   332	RPs/Img: 71.15	IOU: 66.90%	Recall:87.65%
   79   309   353	RPs/Img: 72.88	IOU: 67.04%	Recall:87.54%
   80   311   355	RPs/Img: 72.19	IOU: 67.10%	Recall:87.61%
   81   312   356	RPs/Img: 71.37	IOU: 67.08%	Recall:87.64%
   82   315   359	RPs/Img: 70.86	IOU: 67.02%	Recall:87.74%
   83   317   362	RPs/Img: 71.48	IOU: 66.93%	Recall:87.57%
   84   319   364	RPs/Img: 70.93	IOU: 66.89%	Recall:87.64%
   85   320   365	RPs/Img: 70.29	IOU: 66.88%	Recall:87.67%
   86   321   366	RPs/Img: 69.61	IOU: 66.94%	Recall:87.70%
   87   322   367	RPs/Img: 70.01	IOU: 66.93%	Recall:87.74%
   88   324   370	RPs/Img: 70.06	IOU: 66.88%	Recall:87.57%
   89   326   372	RPs/Img: 69.66	IOU: 66.89%	Recall:87.63%
   90   331   377	RPs/Img: 69.69	IOU: 66.92%	Recall:87.80%
   91   332   378	RPs/Img: 70.04	IOU: 66.96%	Recall:87.83%
   92   340   388	RPs/Img: 70.34	IOU: 66.72%	Recall:87.63%
   93   349   398	RPs/Img: 70.69	IOU: 66.82%	Recall:87.69%
   94   355   404	RPs/Img: 70.62	IOU: 66.94%	Recall:87.87%
   95   356   405	RPs/Img: 70.41	IOU: 66.94%	Recall:87.90%
   96   376   429	RPs/Img: 71.78	IOU: 66.65%	Recall:87.65%
   97   377   430	RPs/Img: 71.15	IOU: 66.65%	Recall:87.67%
   98   393   448	RPs/Img: 72.61	IOU: 66.73%	Recall:87.72%
   99   398   455	RPs/Img: 72.61	IOU: 66.62%	Recall:87.47%
  100   399   456	RPs/Img: 72.33	IOU: 66.61%	Recall:87.50%
  101   402   459	RPs/Img: 72.00	IOU: 66.64%	Recall:87.58%
  102   404   461	RPs/Img: 71.52	IOU: 66.64%	Recall:87.64%
  103   423   485	RPs/Img: 73.99	IOU: 66.18%	Recall:87.22%
  104   424   486	RPs/Img: 73.43	IOU: 66.20%	Recall:87.24%
  105   430   494	RPs/Img: 74.28	IOU: 66.23%	Recall:87.04%
  106   434   498	RPs/Img: 74.10	IOU: 66.31%	Recall:87.15%
  107   435   500	RPs/Img: 74.14	IOU: 66.26%	Recall:87.00%
  108   436   501	RPs/Img: 73.82	IOU: 66.28%	Recall:87.03%
  109   445   510	RPs/Img: 74.31	IOU: 66.40%	Recall:87.25%
  110   446   511	RPs/Img: 74.11	IOU: 66.43%	Recall:87.28%
  111   448   513	RPs/Img: 74.14	IOU: 66.45%	Recall:87.33%
  112   453   518	RPs/Img: 74.21	IOU: 66.48%	Recall:87.45%
  113   454   519	RPs/Img: 74.61	IOU: 66.47%	Recall:87.48%
  114   455   520	RPs/Img: 74.93	IOU: 66.49%	Recall:87.50%
  115   457   522	RPs/Img: 74.64	IOU: 66.45%	Recall:87.55%
  116   459   524	RPs/Img: 74.38	IOU: 66.47%	Recall:87.60%
  117   460   525	RPs/Img: 74.07	IOU: 66.49%	Recall:87.62%
  118   461   526	RPs/Img: 73.50	IOU: 66.47%	Recall:87.64%
  119   462   527	RPs/Img: 73.13	IOU: 66.48%	Recall:87.67%
  120   464   530	RPs/Img: 73.14	IOU: 66.39%	Recall:87.55%
  121   465   533	RPs/Img: 72.83	IOU: 66.25%	Recall:87.24%
  122   465   534	RPs/Img: 72.37	IOU: 66.22%	Recall:87.08%
  123   466   535	RPs/Img: 71.90	IOU: 66.20%	Recall:87.10%
  124   467   536	RPs/Img: 71.38	IOU: 66.21%	Recall:87.13%
  125   473   543	RPs/Img: 71.89	IOU: 66.21%	Recall:87.11%
  126   479   549	RPs/Img: 72.01	IOU: 66.23%	Recall:87.25%
