   56   194   250	RPs/Img: 91.93	IOU: 60.31%	Recall:77.60%
   57   198   256	RPs/Img: 94.10	IOU: 60.15%	Recall:77.34%
   58   202   262	RPs/Img: 93.36	IOU: 60.27%	Recall:77.10%
   59   204   264	RPs/Img: 92.47	IOU: 60.32%	Recall:77.27%
   60   205   265	RPs/Img: 92.31	IOU: 60.38%	Recall:77.36%
   61   209   269	RPs/Img: 91.65	IOU: 60.68%	Recall:77.70%
   62   210   270	RPs/Img: 90.52	IOU: 60.72%	Recall:77.78%
   63   212   272	RPs/Img: 90.56	IOU: 60.80%	Recall:77.94%
   64   215   275	RPs/Img: 90.72	IOU: 60.92%	Recall:78.18%
   65   216   276	RPs/Img: 89.38	IOU: 60.96%	Recall:78.26%
   66   217   277	RPs/Img: 88.76	IOU: 61.02%	Recall:78.34%
   67   218   278	RPs/Img: 87.49	IOU: 61.06%	Recall:78.42%
   68   219   279	RPs/Img: 86.26	IOU: 61.09%	Recall:78.49%
   69   220   280	RPs/Img: 85.13	IOU: 61.10%	Recall:78.57%
   70   227   291	RPs/Img: 85.82	IOU: 60.68%	Recall:78.01%
   71   236   302	RPs/Img: 87.60	IOU: 60.65%	Recall:78.15%
   72   238   306	RPs/Img: 86.89	IOU: 60.54%	Recall:77.78%
   73   243   312	RPs/Img: 87.27	IOU: 60.80%	Recall:77.88%
   74   244   314	RPs/Img: 87.61	IOU: 60.81%	Recall:77.71%
   75   245   315	RPs/Img: 86.51	IOU: 60.87%	Recall:77.78%
   76   249   321	RPs/Img: 87.23	IOU: 60.76%	Recall:77.57%
   77   253   326	RPs/Img: 86.94	IOU: 60.67%	Recall:77.61%
   78   258   332	RPs/Img: 87.58	IOU: 60.77%	Recall:77.71%
   79   275   353	RPs/Img: 90.06	IOU: 61.03%	Recall:77.90%
   80   277   355	RPs/Img: 89.41	IOU: 61.10%	Recall:78.03%
   81   278   356	RPs/Img: 88.34	IOU: 61.11%	Recall:78.09%
   82   281   359	RPs/Img: 87.76	IOU: 61.14%	Recall:78.27%
   83   283   362	RPs/Img: 87.68	IOU: 61.07%	Recall:78.18%
   84   285   364	RPs/Img: 87.18	IOU: 61.08%	Recall:78.30%
   85   286   365	RPs/Img: 86.22	IOU: 61.11%	Recall:78.36%
   86   287   366	RPs/Img: 85.43	IOU: 61.14%	Recall:78.42%
   87   288   367	RPs/Img: 86.11	IOU: 61.13%	Recall:78.47%
   88   290   370	RPs/Img: 85.84	IOU: 61.15%	Recall:78.38%
   89   292   372	RPs/Img: 85.36	IOU: 61.19%	Recall:78.49%
   90   295   377	RPs/Img: 84.97	IOU: 61.11%	Recall:78.25%
   91   296   378	RPs/Img: 84.83	IOU: 61.16%	Recall:78.31%
   92   302   388	RPs/Img: 85.10	IOU: 60.98%	Recall:77.84%
   93   311   398	RPs/Img: 86.11	IOU: 61.11%	Recall:78.14%
   94   317   404	RPs/Img: 86.32	IOU: 61.25%	Recall:78.47%
   95   318   405	RPs/Img: 86.16	IOU: 61.25%	Recall:78.52%
